level,kode_bps,nama_bps,kode_dagri,nama_dagri,parent_kode_bps,periode_merge,fetched_at,province_kode_bps
kecamatan,1101010,TEUPAH SELATAN,110907,Teupah Selatan,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101020,SIMEULUE TIMUR,110904,Simeulue Timur,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101021,TEUPAH BARAT,110903,Teupah Barat,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101022,TEUPAH TENGAH,110909,Teupah Tengah,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101030,SIMEULUE TENGAH,110901,Simeulue Tengah,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101031,TELUK DALAM,110905,Teluk Dalam,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101032,SIMEULUE CUT,110910,Simeulue Cut,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101040,SALANG,110902,Salang,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101050,SIMEULUE BARAT,110906,Simeulue Barat,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1101051,ALAFAN,110908,Alafan,1101,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102010,PULAU BANYAK,111001,Pulau Banyak,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102011,PULAU BANYAK BARAT,111016,Pulau Banyak Barat,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102020,SINGKIL,111004,Singkil,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102021,SINGKIL UTARA,111010,Singkil Utara,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102022,KUALA BARU,111014,Kuala Baru,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102030,SIMPANG KANAN,111002,Simpang Kanan,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102031,GUNUNG MERIAH,111006,Gunung Meriah,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102032,DANAU PARIS,111011,Danau Paris,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102033,SURO,111012,Suro Makmur,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102042,SINGKOHOR,111013,Singkohor,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1102043,KOTA BAHARU,111009,Kota Baharu,1102,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103010,TRUMON,110109,Trumon,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103011,TRUMON TIMUR,110116,Trumon Timur,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103012,TRUMON TENGAH,110118,Trumon Tengah,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103020,BAKONGAN,110101,Bakongan,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103021,BAKONGAN TIMUR,110115,Bakongan Timur,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103022,KOTA BAHAGIA,110117,Kota Bahagia,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103030,KLUET SELATAN,110103,Kluet Selatan,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103031,KLUET TIMUR,110114,Kluet Timur,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103040,KLUET UTARA,110102,Kluet Utara,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103041,PASIE RAJA,110110,Pasi Raja,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103042,KLUET TENGAH,110113,Kluet Tengah,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103050,TAPAK TUAN,110108,Tapaktuan,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103060,SAMA DUA,110106,Samadua,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103070,SAWANG,110107,Sawang,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103080,MEUKEK,110105,Meukek,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103090,LABUHAN HAJI,110104,Labuhanhaji,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103091,LABUHAN HAJI TIMUR,110111,Labuhan Haji Timur,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1103092,LABUHAN HAJI BARAT,110112,Labuhan Haji Barat,1103,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104010,LAWE ALAS,110201,Lawe Alas,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104011,BABUL RAHMAH,110211,Babul Rahmah,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104012,TANOH ALAS,110215,Tanoh Alas,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104020,LAWE SIGALA-GALA,110202,Lawe Sigala-Gala,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104021,BABUL MAKMUR,110206,Babul Makmur,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104022,SEMADAM,110210,Semadam,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104023,LEUSER,110216,Leuser,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104030,BAMBEL,110203,Bambel,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104031,BUKIT TUSAM,110209,Bukit Tusam,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104032,LAWE SUMUR,110214,Lawe Sumur,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104040,BABUSSALAM,110204,Babussalam,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104041,LAWE BULAN,110208,Lawe Bulan,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104050,BADAR,110205,Badar,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104051,DARUL HASANAH,110207,Darul Hasanah,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104052,KETAMBE,110212,Ketambe,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1104053,DELENG POKHKISEN,110213,Deleng Pokhkisen,1104,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105080,SERBA JADI,110305,Serbajadi,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105081,SIMPANG JERNIH,110320,Simpang Jernih,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105082,PEUNARON,110324,Peunaron,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105090,BIREM BAYEUN,110304,Birem Bayeun,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105100,RANTAU SELAMAT,110308,Rantau Selamat,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105101,SUNGAI RAYA,110319,Sungai Raya,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105110,PEUREULAK,110307,Peureulak,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105111,PEUREULAK TIMUR,110317,Peureulak Timur,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105112,PEUREULAK BARAT,110318,Peureulak Barat,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105120,RANTO PEUREULAK,110310,Ranto Peureulak,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105130,IDI RAYEUK,110303,Idi Rayeuk,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105131,PEUDAWA,110316,Peudawa,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105132,BANDA ALAM,110315,Banda Alam,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105133,IDI TUNONG,110314,Idi Tunong,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105134,DARUL IHSAN,110321,Darul Ihsan,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105135,IDI TIMUR,110323,Idi Timur,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105140,DARUL AMAN,110301,Darul Aman,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105150,NURUSSALAM,110306,Nurussalam,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105151,DARUL FALAH,110322,Darul Falah,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105160,JULOK,110302,Julok,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105161,INDRA MAKMUR,110313,Indra Makmu,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105170,PANTE BIDARI,110311,Pante Bidari,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105180,SIMPANG ULIM,110309,Simpang Ulim,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1105181,MADAT,110312,Madat,1105,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106010,LINGE,110401,Linge,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106011,ATU LINTANG,110418,Atu Lintang,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106012,JAGONG JEGET,110419,Jagong Jeget,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106020,BINTANG,110408,Bintang,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106031,LUT TAWAR,110417,Laut Tawar,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106032,KEBAYAKAN,110411,Kebayakan,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106040,PEGASING,110407,Pegasing,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106041,BIES,110420,Bies,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106050,BEBESEN,110403,Bebesen,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106051,KUTE PANANG,110412,Kute Panang,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106060,SILIH NARA,110402,Silih Nara,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106061,KETOL,110410,Ketol,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106062,CELALA,110413,Celala,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1106063,RUSIP ANTARA,110421,Rusip Antara,1106,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107050,JOHAN PAHLAWAN,110501,Johan Pahlawan,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107060,SAMATIGA,110505,Samatiga,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107061,BUBON,110506,Bubon,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107062,ARONGAN LAMBALEK,110507,Arongan Lambalek,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107070,WOYLA,110504,Woyla,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107071,WOYLA BARAT,110510,Woyla Barat,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107072,WOYLA TIMUR,110511,Woyla Timur,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107080,KAWAY XVI,110502,Kaway XVI,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107081,MEUREUBO,110509,Meureubo,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107082,PANTE CEUREUMEN,110508,Pante Ceureumen,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107083,PANTON REU,110512,Panton Reu,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1107090,SUNGAI MAS,110503,Sungai Mas,1107,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108010,LHOONG,110601,Lhoong,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108020,LHOKNGA,110602,Lhoknga,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108021,LEUPUNG,110622,Leupung,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108030,INDRAPURI,110603,Indrapuri,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108031,KUTA COT GLIE,110616,Kuta Cot Glie,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108040,SEULIMEUM,110604,Seulimeum,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108041,KOTA JANTHO,110615,Kota Jantho,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108042,LEMBAH SEULAWAH,110614,Lembah Seulawah,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108050,MESJID RAYA,110609,Mesjid Raya,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108060,DARUSSALAM,110612,Darussalam,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108061,BAITUSSALAM,110620,Baitussalam,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108070,KUTA BARO,110611,Kuta Baro,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
kecamatan,1108080,MONTASIK,110605,Montasik,1108,2024_1.2022,2025-09-22T10:10:22+00:00,11
