level,kode_bps,nama_bps,kode_dagri,nama_dagri,parent_kode_bps,periode_merge,fetched_at,province_kode_bps
kabupaten,1101,KAB. SIMEULUE,11.09,KABUPATEN SIMEULUE,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1102,KAB. ACEH SINGKIL,11.10,KABUPATEN ACEH SINGKIL,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1103,KAB. ACEH SELATAN,11.01,KABUPATEN ACEH SELATAN,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1104,KAB. ACEH TENGGARA,11.02,KABUPATEN ACEH TENGGARA,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1105,KAB. ACEH TIMUR,11.03,KABUPATEN ACEH TIMUR,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1106,KAB. ACEH TENGAH,11.04,KABUPATEN ACEH TENGAH,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1107,KAB. ACEH BARAT,11.05,KABUPATEN ACEH BARAT,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1108,KAB. ACEH BESAR,11.06,KABUPATEN ACEH BESAR,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1109,KAB. PIDIE,11.07,KABUPATEN PIDIE,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1110,KAB. BIREUEN,11.11,KABUPATEN BIREUEN,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1111,KAB. ACEH UTARA,11.08,KABUPATEN ACEH UTARA,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1112,KAB. ACEH BARAT DAYA,11.12,KABUPATEN ACEH BARAT DAYA,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1113,KAB. GAYO LUES,11.13,KABUPATEN GAYO LUES,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1114,KAB. ACEH TAMIANG,11.16,KABUPATEN ACEH TAMIANG,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
kabupaten,1115,KAB. NAGAN RAYA,11.15,KABUPATEN NAGAN RAYA,11,2024_1.2025,2025-09-20T05:37:07+00:00,11
